"Ảnh","Mã sản phẩm","Ngày cập nhật","Chủng loại","Lưu ý nhận sx 1c / sx hết tồn","","Tên sản phẩm","Nguyên Giá (bắt buộc)","Giá TMĐT","Giá TMĐT làm tròn","Giá KM","Mùa vụ","Tồn","Màu sắc","SIZE SỐ","Chất liệu","Mô tả sản phẩm","Hàng tặng","","BST mới","Biển","Nghệ sĩ","","","","","","","","","","","","","","","","","","","","","Sale CH",""
"","MR0AC6080","06/08/2026","Áo cộc tay","HẾT HÀNG","","Penny","750.000","","","","Xuân hè 2026","0","TRẮNG TIÊU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","MRKSQ6066","07/08/2026","Set quần","Không nhận sx 1c","","Celyra","1.450.000","","","","Xuân hè 2026","39","TRẮNG","","Sand Chiffon","TƠ SẦN
Cấu tạo: ÁO ĐÓNG CÚC. QUẦN CÓ KHOÁ
Độ co giãn: ko co giãn
Kết cấu: ÁO 1 LỚP 
QUẦN 2 LỚP","Áo Quây","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0VX6037","06/08/2026","Váy xoè","HẾT HÀNG","","Yelira","990.000","","","","Xuân hè 2026","0","KEM","","silk chiffon","Thiết kế đầm Yelira được làm từ chất liệu silk chiffon cao cấp – nổi bật với độ mềm mịn, nhẹ và rũ tự nhiên, mang lại cảm giác thoáng mát và cực kỳ dễ chịu khi mặc.
Form dáng xếp tầng tinh tế giúp tạo hiệu ứng bồng bềnh, nữ tính, che khuyết điểm tốt mà vẫn tôn lên vẻ thanh thoát cho người mặc. Phần thân trên thiết kế đơn giản, kết hợp cùng chất liệu bay nhẹ giúp tổng thể trở nên sang trọng nhưng không cầu kỳ
Cấu tạo: Không khóa. chui đầu
Độ co giãn: ko co giãn
Kết cấu: 2 lớp","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0SQ6042","12/08/2026","Set quần","Không nhận sx 1c","","Oriana","1.350.000","","","","Xuân hè 2026","0","TRẮNG","","cold silk","Thiết kế Oriana sử dụng chất liệu cold silk – loại vải nổi tiếng với bề mặt mịn mát, khi chạm vào có cảm giác “lạnh tay” rất dễ chịu. Nhờ đặc tính thoáng khí và nhẹ, set đồ đặc biệt phù hợp cho thời tiết nóng, mặc cả ngày vẫn thấy khô ráo và thoải mái.
Phom dáng rộng rãi, buông nhẹ theo cơ thể giúp tạo cảm giác thanh thoát, không gò bó. Áo sơ mi cách điệu với chi tiết cổ thêu và hàng nút nhỏ mang lại nét nữ tính tinh tế, kết hợp cùng quần short đồng bộ tạo nên tổng thể hài hòa – vừa kín đáo vừa trẻ trung.
Điểm hay của chất vải này là giữ được độ mềm rũ tự nhiên nhưng vẫn đủ đứng form để outfit luôn gọn gàng, không bị luộm thuộm. Khi di chuyển, vải có độ bay nhẹ rất đẹp, tạo cảm giác “nhẹ tênh” đúng chuẩn phong cách nghỉ dưỡng
Cấu tạo: ÁO CÓ CÚC CHUI ĐẦU
Độ co giãn: KHÔng co giãn
Kết cấu: 2 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0AC6046","06/08/2026","Áo cộc tay","HẾT HÀNG","","Orelle","750.000","","","","Xuân hè 2026","0","XANH, TRẮNG, HỒNG, VÀNG, ( VÀNG KO NHẬN SX 1C )","FREE SIZE ","Cotton Elastic","Sản phẩm Orelle , điểm Sáng Từ Chất Liệu Cotton Elastic (Cotton Co Giãn):
Siêu co giãn & Đàn hồi: Chất liệu Cotton Elastic giúp áo giữ form cực tốt, ôm nhẹ theo đường cong cơ thể mà không hề gây cảm giác gò bó. Nàng có thể thoải mái vận động cả ngày dài.
Thấm hút vượt trội: Sợi cotton tự nhiên giúp làn da luôn được ""thở"", cực kỳ thoáng mát và thấm hút mồ hôi tốt, rất phù hợp với khí hậu nóng ẩm.
Bề mặt vải mịn mượt: Vải có độ mềm mại, không gây kích ứng da và đặc biệt là rất bền màu, ít nhăn sau khi giặt.
Thiết Kế Thời Thượng , Áo thun vàng pastel trẻ trung: Kết hợp họa tiết chữ thanh mảnh, mang lại vẻ ngoài ngọt ngào nhưng vẫn rất hiện đại. Điểm xuyết thêm chiếc khăn quàng nhẹ tạo điểm nhấn ""layer"" cực Tây
Cấu tạo: KHÔNG CÓ KHOÁ
Độ co giãn: CÓ CO GIÃN
Kết cấu: 1 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0CV6047","06/08/2026","Chân váy","HẾT HÀNG","","Orelisse","650.000","","","","Xuân hè 2026","0","XANH DƯƠNG, KEM","FREESIZE","Cotton Pima","Sản phẩm Orelisse Bề mặt vải mướt mịn , Cold Khaki có độ bóng nhẹ, mặt vải mịn màng, sờ vào cảm giác mát lịm tay đúng như tên gọi.
Giữ Form tuyệt đối: Chất vải có độ đứng nhất định, giúp các đường xếp ly ở phần cạp váy luôn sắc nét, tạo độ xòe tự nhiên và che khuyết điểm đôi chân cực tốt.
Ít nhăn, bền màu: Đặc tính nổi trội là rất khó nhăn, giúp nàng luôn giữ được diện mạo chỉn chu suốt cả ngày dài làm việc hay di chuyển.
Thiết kế tinh tế & Tôn dáng:
Dáng dài Midi: Độ dài qua gối vừa phải mang lại vẻ ngoài kín đáo, sang trọng nhưng vẫn rất trẻ trung.
Cạp cao ""hack"" eo: Thiết kế cạp váy ôm gọn vòng eo, kết hợp cùng họa tiết chìm tinh tế trên nền vải xám xanh thanh lịch, tạo hiệu ứng thị giác giúp đôi chân trông dài hơn
Cấu tạo: CÓ KHOÁ. CÓ CHUN LƯNG
Độ co giãn: KHÔng co giãn
Kết cấu: 1 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0AC6048","06/08/2026","Áo cộc tay","Không nhận sx 1c","","Orelina","750.000","","","","Xuân hè 2026","0","XANH NHẠT, VÀNG NHẠT","FREE SIZE ","Cotton Pima","Sản phẩm Orelina được làm từ chất vải 100% Cotton tự nhiên: Cực kỳ mềm mại, thấm hút mồ hôi tốt, mặc mùa hè thì bao mát, mùa thu thì êm ái.
An toàn cho da: Vải lành tính, không gây ngứa hay bí bách, kể cả da nhạy cảm.
Form dáng chuẩn: Áo lên form cực xinh, dễ mặc, dễ phối với mọi loại chân váy hay quần jeans.
Màu kem thanh lịch: Tone màu nịnh da, mặc lên nhìn trẻ trung và rất ""sang"" nha các nàng
Cấu tạo: KHÔNG CÓ KHOÁ
Độ co giãn: CÓ CO GIÃN
Kết cấu: 2 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0VX6076","06/08/2026","Váy xoè","Không nhận sx 1c","","Orlora","1.290.000","","","","Xuân hè 2026","0","VÀNG, HỒNG","S,M","voan boil","Đầm suông 2 dây được làm từ chất liệu voan boil , mặc mùa xuân hè vô cùng phù hợp , chất liệu vải mát , nhăn tự nhiên . Điểm nhấn của đầm ở phần ngực , được tạo đính thủ công smocking tạo nên chiếc đầm phần phóng khoáng nhưng cũng rất thướt tha
Cấu tạo: KHÔNG CÓ KHOÁ
Độ co giãn: KHÔNG CO GIÃN
Kết cấu: 2 LỚP","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MR0SQ6078","06/08/2026","Set quần","Không nhận sx 1c","","Orviane","1.290.000","","","","Xuân hè 2026","0","TRẮNG, BE","S,M","Vải bamboo","Set quần Orviane được làm bằng chất liệu voan nhật vân kẻ .Bề mặt vải có độ rủ mềm mại, mỏng nhẹ và thoáng mát tuyệt đối. Các đường sọc dọc chìm giúp tạo hiệu ứng thị giác thon gọn và ""kéo dài"" vóc dáng cực đỉnh. , đỡ áo bằng voan trong, có dây buộc phía trước,Vạt áo xòe nhẹ (peplum) giúp giấu khuyết điểm vòng 2 hoàn hảo. kết hợp cùng quần dài, có lót quần trong phom rộng tạo thoải mái thướt tha
Cấu tạo: Áo buộc dây trước ngực. Quần có khóa kéo
Độ co giãn: KHÔNG CO GIÃN
Kết cấu: Quần 2 lớp","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
"","MG0SV6029","06/08/2026","Set váy","HẾT HÀNG","","Orvessae","790.000","","","","Xuân hè 2026","0","KEM","S,M","Needle Lace","Set Orvessae được làm từ chất liệu Ren kim hay còn gọi là Needle Lace , vừa có độ trong , vừa có sự mỏng nhẹ , bay bay , trái ngược với các loại ren dày trên thị trường thì chất liệu ren này vừa có độ bay của voan , vừa có độ mềm mại của ren , tạo cho người mặc vẻ sang chảnh , nữ tính
Cấu tạo: Áo đóng cúc sau cổ. Chân váy cạp chun
Độ co giãn: KHÔNG CO GIÃN
Kết cấu: 2 lớp","","","","","","","","","","","","","","","","","","","","","","","","","","20%",""
